Date,State/UnionTerritory,Cured,Deaths,Confirmed,New_Confirmed,New_Recovered,New_Deaths
26-03-2020,Andaman and Nicobar Islands,0,0,1,1,0,0
27-03-2020,Andaman and Nicobar Islands,0,0,1,0,0,0
28-03-2020,Andaman and Nicobar Islands,0,0,6,5,0,0
29-03-2020,Andaman and Nicobar Islands,0,0,9,3,0,0
30-03-2020,Andaman and Nicobar Islands,0,0,9,0,0,0
31-03-2020,Andaman and Nicobar Islands,0,0,10,1,0,0
04-01-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-02-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-03-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-04-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-05-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-06-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-07-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-08-2020,Andaman and Nicobar Islands,0,0,10,0,0,0
04-09-2020,Andaman and Nicobar Islands,0,0,11,1,0,0
04-10-2020,Andaman and Nicobar Islands,0,0,11,0,0,0
04-11-2020,Andaman and Nicobar Islands,0,0,11,0,0,0
04-12-2020,Andaman and Nicobar Islands,10,0,11,0,10,0
13-04-2020,Andaman and Nicobar Islands,10,0,11,0,0,0
14-04-2020,Andaman and Nicobar Islands,10,0,11,0,0,0
15-04-2020,Andaman and Nicobar Islands,10,0,11,0,0,0
16-04-2020,Andaman and Nicobar Islands,10,0,11,0,0,0
17-04-2020,Andaman and Nicobar Islands,10,0,11,0,0,0
18-04-2020,Andaman and Nicobar Islands,11,0,12,1,1,0
19-04-2020,Andaman and Nicobar Islands,11,0,14,2,0,0
20-04-2020,Andaman and Nicobar Islands,11,0,15,1,0,0
21-04-2020,Andaman and Nicobar Islands,11,0,16,1,0,0
22-04-2020,Andaman and Nicobar Islands,11,0,17,1,0,0
23-04-2020,Andaman and Nicobar Islands,11,0,18,1,0,0
24-04-2020,Andaman and Nicobar Islands,11,0,22,4,0,0
25-04-2020,Andaman and Nicobar Islands,11,0,27,5,0,0
26-04-2020,Andaman and Nicobar Islands,11,0,33,6,0,0
27-04-2020,Andaman and Nicobar Islands,11,0,33,0,0,0
28-04-2020,Andaman and Nicobar Islands,11,0,33,0,0,0
29-04-2020,Andaman and Nicobar Islands,15,0,33,0,4,0
30-04-2020,Andaman and Nicobar Islands,15,0,33,0,0,0
05-01-2020,Andaman and Nicobar Islands,16,0,33,0,1,0
05-02-2020,Andaman and Nicobar Islands,16,0,33,0,0,0
05-03-2020,Andaman and Nicobar Islands,17,0,33,0,1,0
05-04-2020,Andaman and Nicobar Islands,32,0,33,0,15,0
05-05-2020,Andaman and Nicobar Islands,32,0,33,0,0,0
05-06-2020,Andaman and Nicobar Islands,32,0,33,0,0,0
05-07-2020,Andaman and Nicobar Islands,32,0,33,0,0,0
05-08-2020,Andaman and Nicobar Islands,33,0,33,0,1,0
05-09-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
05-10-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
05-11-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
05-12-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
13-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
14-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
15-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
16-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
17-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
18-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
19-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
20-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
21-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
22-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
23-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
24-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
25-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
26-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
27-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
28-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
29-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
30-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
31-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-01-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-02-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-03-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-04-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-05-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-06-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-07-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-08-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-09-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-10-2020,Andaman and Nicobar Islands,33,0,33,0,0,0
06-11-2020,Andaman and Nicobar Islands,33,0,34,1,0,0
06-12-2020,Andaman and Nicobar Islands,33,0,38,4,0,0
13-06-2020,Andaman and Nicobar Islands,33,0,38,0,0,0
14-06-2020,Andaman and Nicobar Islands,33,0,38,0,0,0
15-06-2020,Andaman and Nicobar Islands,33,0,38,0,0,0
16-06-2020,Andaman and Nicobar Islands,33,0,41,3,0,0
17-06-2020,Andaman and Nicobar Islands,33,0,44,3,0,0
18-06-2020,Andaman and Nicobar Islands,33,0,44,0,0,0
19-06-2020,Andaman and Nicobar Islands,33,0,44,0,0,0
20-06-2020,Andaman and Nicobar Islands,35,0,45,1,2,0
21-06-2020,Andaman and Nicobar Islands,36,0,47,2,1,0
22-06-2020,Andaman and Nicobar Islands,37,0,48,1,1,0
23-06-2020,Andaman and Nicobar Islands,37,0,48,0,0,0
24-06-2020,Andaman and Nicobar Islands,40,0,50,2,3,0
25-06-2020,Andaman and Nicobar Islands,43,0,56,6,3,0
26-06-2020,Andaman and Nicobar Islands,43,0,59,3,0,0
27-06-2020,Andaman and Nicobar Islands,43,0,72,13,0,0
28-06-2020,Andaman and Nicobar Islands,43,0,72,0,0,0
29-06-2020,Andaman and Nicobar Islands,45,0,76,4,2,0
30-06-2020,Andaman and Nicobar Islands,46,0,90,14,1,0
07-01-2020,Andaman and Nicobar Islands,50,0,97,7,4,0
07-02-2020,Andaman and Nicobar Islands,50,0,100,3,0,0
07-03-2020,Andaman and Nicobar Islands,51,0,109,9,1,0
07-04-2020,Andaman and Nicobar Islands,54,0,116,7,3,0
07-05-2020,Andaman and Nicobar Islands,66,0,119,3,12,0
07-06-2020,Andaman and Nicobar Islands,72,0,125,6,6,0
07-07-2020,Andaman and Nicobar Islands,74,0,141,16,2,0
07-08-2020,Andaman and Nicobar Islands,75,0,147,6,1,0
