State/UnionTerritory,Year-Month,New_Confirmed,New_Recovered,New_Deaths
Andaman and Nicobar Islands,03-01-2020,10,0,0
Andaman and Nicobar Islands,04-01-2020,23,15,0
Andaman and Nicobar Islands,05-01-2020,0,18,0
Andaman and Nicobar Islands,06-01-2020,57,13,0
Andaman and Nicobar Islands,07-01-2020,381,155,4
Andaman and Nicobar Islands,08-01-2020,2633,2385,41
Andaman and Nicobar Islands,09-01-2020,717,1001,8
Andaman and Nicobar Islands,10-01-2020,496,489,6
Andaman and Nicobar Islands,11-01-2020,387,461,2
Andaman and Nicobar Islands,12-01-2020,282,283,1
Andaman and Nicobar Islands,01-01-2021,53,108,0
Andaman and Nicobar Islands,02-01-2021,24,24,0
Andaman and Nicobar Islands,03-01-2021,63,24,0
Andaman and Nicobar Islands,04-01-2021,794,667,5
Andaman and Nicobar Islands,05-01-2021,1109,1040,47
Andaman and Nicobar Islands,06-01-2021,482,613,14
Andaman and Nicobar Islands,07-01-2021,69,102,1
Andaman and Nicobar Islands,08-01-2021,13,14,0
Andhra Pradesh,03-01-2020,40,1,0
Andhra Pradesh,04-01-2020,1363,320,31
Andhra Pradesh,05-01-2020,2166,1968,29
Andhra Pradesh,06-01-2020,10322,3943,120
Andhra Pradesh,07-01-2020,116666,53792,1101
Andhra Pradesh,08-01-2020,294210,261730,2603
Andhra Pradesh,09-01-2020,262584,300382,1896
Andhra Pradesh,10-01-2020,133214,166239,896
Andhra Pradesh,11-01-2020,47118,63923,312
Andhra Pradesh,12-01-2020,14265,19290,116
Andhra Pradesh,01-01-2021,5772,7690,49
Andhra Pradesh,02-01-2021,2079,2685,16
Andhra Pradesh,03-01-2021,11006,5015,44
Andhra Pradesh,04-01-2021,183531,75272,715
Andhra Pradesh,05-01-2021,600806,546265,2904
Andhra Pradesh,06-01-2021,200574,324456,1839
Andhra Pradesh,07-01-2021,78401,96594,683
Andhra Pradesh,08-01-2021,21065,23171,210
Arunachal Pradesh,04-01-2020,1,1,0
Arunachal Pradesh,05-01-2020,3,0,0
Arunachal Pradesh,06-01-2020,183,60,1
Arunachal Pradesh,07-01-2020,1297,766,2
Arunachal Pradesh,08-01-2020,2550,1995,4
Arunachal Pradesh,09-01-2020,5519,3921,9
Arunachal Pradesh,10-01-2020,5199,6034,21
Arunachal Pradesh,11-01-2020,1517,2587,17
Arunachal Pradesh,12-01-2020,442,1185,2
Arunachal Pradesh,01-01-2021,117,209,0
Arunachal Pradesh,02-01-2021,8,19,0
Arunachal Pradesh,03-01-2021,9,8,0
Arunachal Pradesh,04-01-2021,1411,300,3
Arunachal Pradesh,05-01-2021,8694,5967,56
Arunachal Pradesh,06-01-2021,8621,9664,53
Arunachal Pradesh,07-01-2021,12285,10772,58
Arunachal Pradesh,08-01-2021,2749,4333,22
Assam,04-01-2020,42,29,1
Assam,05-01-2020,1143,134,3
Assam,06-01-2020,6567,5170,7
Assam,07-01-2020,30655,23747,83
Assam,08-01-2020,67367,54847,202
Assam,09-01-2020,71447,60075,384
Assam,10-01-2020,28794,50666,246
Assam,11-01-2020,6602,13618,55
Assam,12-01-2020,3522,3552,62
Assam,01-01-2021,981,2286,39
Assam,02-01-2021,407,691,10
Assam,03-01-2021,1918,598,12
Assam,04-01-2021,31563,8781,177
Assam,05-01-2021,156942,125579,2019
Assam,06-01-2021,99137,124684,1209
Assam,07-01-2021,59204,71679,732
Assam,08-01-2021,10940,13548,179
Bihar,03-01-2020,15,0,1
Bihar,04-01-2020,388,65,1
Bihar,05-01-2020,3233,1553,18
Bihar,06-01-2020,6004,5772,42
