Date,State/UnionTerritory,New_Total_Doses_administered,Total_Doses_administered(new+previous),New_First_dose_administered,First_dose_administered(new+previous),New_Second_dose_administered,Total_Second_dose_administered(new+previous),New_covaxin_doses_administered,Total_covaxin_doses_administered(new+previous),New_covishield_doses_administered,Total_covishield_doses_administered(new+previous),New_sputnik_v_doses_administered,Total_sputnik_v_doses_administered(new+previous),New_aefi,Total_aefi(new+previous)
16-01-2021,Andaman and Nicobar Islands,23,23,23,23,0,0,0,0,23,23,0,0,0,0
17-01-2021,Andaman and Nicobar Islands,0,23,0,23,0,0,0,0,0,23,0,0,0,0
18-01-2021,Andaman and Nicobar Islands,19,42,19,42,0,0,0,0,19,42,0,0,0,0
19-01-2021,Andaman and Nicobar Islands,47,89,47,89,0,0,0,0,47,89,0,0,0,0
20-01-2021,Andaman and Nicobar Islands,35,124,35,124,0,0,0,0,35,124,0,0,0,0
21-01-2021,Andaman and Nicobar Islands,115,239,115,239,0,0,0,0,115,239,0,0,0,0
22-01-2021,Andaman and Nicobar Islands,313,552,313,552,0,0,0,0,313,552,0,0,0,0
23-01-2021,Andaman and Nicobar Islands,368,920,368,920,0,0,0,0,368,920,0,0,0,0
24-01-2021,Andaman and Nicobar Islands,46,966,46,966,0,0,0,0,46,966,0,0,0,0
25-01-2021,Andaman and Nicobar Islands,553,1519,553,1519,0,0,0,0,553,1519,0,0,0,0
26-01-2021,Andaman and Nicobar Islands,0,1519,0,1519,0,0,0,0,0,1519,0,0,0,0
27-01-2021,Andaman and Nicobar Islands,0,1519,0,1519,0,0,0,0,0,1519,0,0,0,0
28-01-2021,Andaman and Nicobar Islands,437,1956,437,1956,0,0,0,0,437,1956,0,0,0,0
29-01-2021,Andaman and Nicobar Islands,68,2024,68,2024,0,0,0,0,68,2024,0,0,0,0
30-01-2021,Andaman and Nicobar Islands,36,2060,36,2060,0,0,0,0,36,2060,0,0,0,0
31-01-2021,Andaman and Nicobar Islands,0,2060,0,2060,0,0,0,0,0,2060,0,0,0,0
02-01-2021,Andaman and Nicobar Islands,0,2060,0,2060,0,0,0,0,0,2060,0,0,0,0
02-02-2021,Andaman and Nicobar Islands,0,2060,0,2060,0,0,0,0,0,2060,0,0,0,0
02-03-2021,Andaman and Nicobar Islands,47,2107,47,2107,0,0,0,0,47,2107,0,0,0,0
02-04-2021,Andaman and Nicobar Islands,183,2290,183,2290,0,0,0,0,183,2290,0,0,0,0
02-05-2021,Andaman and Nicobar Islands,224,2514,224,2514,0,0,0,0,224,2514,0,0,0,0
02-06-2021,Andaman and Nicobar Islands,266,2780,266,2780,0,0,0,0,266,2780,0,0,0,0
02-07-2021,Andaman and Nicobar Islands,0,2780,0,2780,0,0,0,0,0,2780,0,0,0,0
02-08-2021,Andaman and Nicobar Islands,0,2780,0,2780,0,0,0,0,0,2780,0,0,0,0
02-09-2021,Andaman and Nicobar Islands,0,2780,0,2780,0,0,0,0,0,2780,0,0,0,0
02-10-2021,Andaman and Nicobar Islands,0,2780,0,2780,0,0,0,0,0,2780,0,0,0,0
02-11-2021,Andaman and Nicobar Islands,0,2780,0,2780,0,0,0,0,0,2780,0,0,0,0
02-12-2021,Andaman and Nicobar Islands,72,2852,72,2852,0,0,0,0,72,2852,0,0,0,0
13-02-2021,Andaman and Nicobar Islands,188,3040,188,3040,0,0,0,0,188,3040,0,0,0,0
14-02-2021,Andaman and Nicobar Islands,0,3040,0,3040,0,0,0,0,0,3040,0,0,0,0
15-02-2021,Andaman and Nicobar Islands,427,3467,323,3363,104,104,0,0,323,3363,0,0,0,0
16-02-2021,Andaman and Nicobar Islands,0,3467,0,3363,0,104,0,0,0,3363,0,0,0,0
17-02-2021,Andaman and Nicobar Islands,197,3664,197,3560,0,104,0,0,197,3560,0,0,0,0
18-02-2021,Andaman and Nicobar Islands,182,3846,0,3505,237,341,0,0,0,3505,0,0,0,0
19-02-2021,Andaman and Nicobar Islands,1052,4898,741,4246,311,652,0,0,741,4246,0,0,0,0
20-02-2021,Andaman and Nicobar Islands,755,5653,461,4707,294,946,0,0,461,4707,0,0,0,0
21-02-2021,Andaman and Nicobar Islands,0,5653,0,4707,0,946,0,0,0,4707,0,0,0,0
22-02-2021,Andaman and Nicobar Islands,1203,6856,651,5358,552,1498,0,0,651,5358,0,0,0,0
23-02-2021,Andaman and Nicobar Islands,202,7058,78,5436,124,1622,0,0,78,5436,0,0,0,0
24-02-2021,Andaman and Nicobar Islands,182,7240,82,5518,100,1722,0,0,82,5518,0,0,0,0
25-02-2021,Andaman and Nicobar Islands,523,7763,349,5867,174,1896,0,0,349,5867,0,0,0,0
26-02-2021,Andaman and Nicobar Islands,226,7989,162,6029,64,1960,0,0,162,6029,0,0,0,0
27-02-2021,Andaman and Nicobar Islands,0,7989,0,6029,0,1960,0,0,0,6029,0,0,0,0
28-02-2021,Andaman and Nicobar Islands,0,7989,0,6029,0,1960,0,0,0,6029,0,0,0,0
03-01-2021,Andaman and Nicobar Islands,0,7989,0,6029,0,1960,0,0,0,6029,0,0,0,0
03-02-2021,Andaman and Nicobar Islands,735,8724,609,6638,126,2086,0,0,609,6638,0,0,0,0
03-03-2021,Andaman and Nicobar Islands,113,8837,111,6749,2,2088,0,0,111,6749,0,0,0,0
03-04-2021,Andaman and Nicobar Islands,524,9361,517,7266,7,2095,0,0,517,7266,0,0,0,0
03-05-2021,Andaman and Nicobar Islands,536,9897,533,7799,3,2098,0,0,533,7799,0,0,0,0
03-06-2021,Andaman and Nicobar Islands,601,10498,489,8288,112,2210,0,0,489,8288,0,0,0,0
03-07-2021,Andaman and Nicobar Islands,603,11101,560,8848,43,2253,0,0,560,8848,0,0,0,0
03-08-2021,Andaman and Nicobar Islands,903,12004,781,9629,122,2375,0,0,781,9629,0,0,0,0
03-09-2021,Andaman and Nicobar Islands,0,9932,0,7542,15,2390,0,0,303,9932,0,0,0,0
03-10-2021,Andaman and Nicobar Islands,229,10161,193,7735,36,2426,0,0,229,10161,0,0,0,0
03-11-2021,Andaman and Nicobar Islands,543,10704,483,8218,60,2486,0,0,543,10704,0,0,0,0
03-12-2021,Andaman and Nicobar Islands,617,11321,517,8735,100,2586,0,0,617,11321,0,0,0,0
13-03-2021,Andaman and Nicobar Islands,317,11638,164,8899,153,2739,0,0,317,11638,0,0,0,0
14-03-2021,Andaman and Nicobar Islands,55,11693,27,8926,28,2767,0,0,55,11693,0,0,0,0
15-03-2021,Andaman and Nicobar Islands,352,12045,276,9202,76,2843,0,0,352,12045,0,0,0,0
16-03-2021,Andaman and Nicobar Islands,2781,14826,2748,11950,33,2876,0,0,2781,14826,0,0,1,1
17-03-2021,Andaman and Nicobar Islands,663,15489,559,12509,104,2980,0,0,663,15489,0,0,0,1
18-03-2021,Andaman and Nicobar Islands,642,16131,439,12948,203,3183,0,0,642,16131,0,0,0,1
19-03-2021,Andaman and Nicobar Islands,481,16612,345,13293,136,3319,0,0,481,16612,0,0,0,1
20-03-2021,Andaman and Nicobar Islands,839,17451,559,13852,280,3599,0,0,839,17451,0,0,0,1
21-03-2021,Andaman and Nicobar Islands,27,17478,16,13868,11,3610,0,0,27,17478,0,0,0,1
22-03-2021,Andaman and Nicobar Islands,607,18085,459,14327,148,3758,0,0,607,18085,0,0,0,1
23-03-2021,Andaman and Nicobar Islands,1036,19121,690,15017,346,4104,0,0,1036,19121,0,0,0,1
24-03-2021,Andaman and Nicobar Islands,572,19693,230,15247,342,4446,0,0,572,19693,0,0,0,1
25-03-2021,Andaman and Nicobar Islands,625,20318,405,15652,220,4666,0,0,625,20318,0,0,0,1
26-03-2021,Andaman and Nicobar Islands,471,20789,281,15933,190,4856,0,0,471,20789,0,0,0,1
27-03-2021,Andaman and Nicobar Islands,567,21356,359,16292,208,5064,0,0,567,21356,0,0,0,1
28-03-2021,Andaman and Nicobar Islands,2,21358,1,16293,1,5065,0,0,2,21358,0,0,0,1
29-03-2021,Andaman and Nicobar Islands,0,21357,0,16292,0,5065,0,0,0,21357,0,0,0,1
30-03-2021,Andaman and Nicobar Islands,483,21840,409,16701,74,5139,0,0,483,21840,0,0,0,1
31-03-2021,Andaman and Nicobar Islands,98,21938,97,16798,1,5140,0,0,98,21938,0,0,0,1
04-01-2021,Andaman and Nicobar Islands,670,22608,637,17435,33,5173,0,0,670,22608,0,0,0,1
04-02-2021,Andaman and Nicobar Islands,130,22738,124,17559,6,5179,0,0,130,22738,0,0,0,1
04-03-2021,Andaman and Nicobar Islands,483,23221,439,17998,44,5223,0,0,483,23221,0,0,0,1
04-04-2021,Andaman and Nicobar Islands,680,23901,679,18677,1,5224,0,0,680,23901,0,0,0,1
04-05-2021,Andaman and Nicobar Islands,873,24774,822,19499,51,5275,0,0,873,24774,0,0,0,1
04-06-2021,Andaman and Nicobar Islands,992,25766,946,20445,46,5321,0,0,992,25766,0,0,0,1
04-07-2021,Andaman and Nicobar Islands,2212,27978,2186,22631,26,5347,0,0,2212,27978,0,0,0,1
04-08-2021,Andaman and Nicobar Islands,2788,30766,2732,25363,56,5403,0,0,2788,30766,0,0,0,1
04-09-2021,Andaman and Nicobar Islands,2451,33217,2335,27698,116,5519,0,0,2451,33217,0,0,0,1
04-10-2021,Andaman and Nicobar Islands,2216,35433,2165,29863,51,5570,0,0,2216,35433,0,0,0,1
04-11-2021,Andaman and Nicobar Islands,2191,37624,2149,32012,42,5612,0,0,2191,37624,0,0,0,1
04-12-2021,Andaman and Nicobar Islands,4661,42285,4560,36572,101,5713,0,0,4661,42285,0,0,0,1
13-04-2021,Andaman and Nicobar Islands,6560,48845,6441,43013,119,5832,0,0,6560,48845,0,0,0,1
14-04-2021,Andaman and Nicobar Islands,6750,55595,6641,49654,109,5941,0,0,6750,55595,0,0,0,1
15-04-2021,Andaman and Nicobar Islands,5262,60857,5124,54778,138,6079,0,0,5262,60857,0,0,0,1
16-04-2021,Andaman and Nicobar Islands,6805,67662,6561,61339,244,6323,0,0,6805,67662,0,0,0,1
17-04-2021,Andaman and Nicobar Islands,6357,74019,6112,67451,245,6568,0,0,6357,74019,0,0,0,1
18-04-2021,Andaman and Nicobar Islands,4134,78153,3824,71275,310,6878,0,0,4134,78153,0,0,0,1
19-04-2021,Andaman and Nicobar Islands,4875,83028,4400,75675,475,7353,0,0,4875,83028,0,0,0,1
20-04-2021,Andaman and Nicobar Islands,3882,86910,3298,78973,584,7937,0,0,3882,86910,0,0,0,1
21-04-2021,Andaman and Nicobar Islands,2162,89072,1928,80901,234,8171,0,0,2162,89072,0,0,0,1
22-04-2021,Andaman and Nicobar Islands,2761,91833,2332,83233,429,8600,0,0,2761,91833,0,0,0,1
23-04-2021,Andaman and Nicobar Islands,2333,94166,1968,85201,365,8965,0,0,2333,94166,0,0,0,1
24-04-2021,Andaman and Nicobar Islands,1927,96093,1595,86796,332,9297,0,0,1927,96093,0,0,0,1
25-04-2021,Andaman and Nicobar Islands,1299,97392,1069,87865,230,9527,0,0,1299,97392,0,0,0,1
26-04-2021,Andaman and Nicobar Islands,1717,99109,1425,89290,292,9819,0,0,1717,99109,0,0,0,1
27-04-2021,Andaman and Nicobar Islands,1462,100571,1164,90454,298,10117,0,0,1462,100571,0,0,0,1
28-04-2021,Andaman and Nicobar Islands,1199,101770,940,91394,259,10376,0,0,1199,101770,0,0,0,1
29-04-2021,Andaman and Nicobar Islands,1228,102998,1023,92417,205,10581,0,0,1228,102998,0,0,0,1
30-04-2021,Andaman and Nicobar Islands,1376,104374,1076,93493,300,10881,0,0,1376,104374,0,0,0,1
05-01-2021,Andaman and Nicobar Islands,716,105090,509,94002,207,11088,0,0,716,105090,0,0,0,1
05-02-2021,Andaman and Nicobar Islands,195,105285,123,94125,72,11160,0,0,195,105285,0,0,0,1
05-03-2021,Andaman and Nicobar Islands,965,106250,508,94633,457,11617,0,0,965,106250,0,0,0,1
05-04-2021,Andaman and Nicobar Islands,768,107018,431,95064,337,11954,0,0,768,107018,0,0,0,1
05-05-2021,Andaman and Nicobar Islands,937,107955,436,95500,501,12455,0,0,937,107955,0,0,0,1
05-06-2021,Andaman and Nicobar Islands,1105,109060,729,96229,376,12831,0,0,1105,109060,0,0,0,1
05-07-2021,Andaman and Nicobar Islands,1101,110161,741,96970,360,13191,0,0,1101,110161,0,0,0,1
05-08-2021,Andaman and Nicobar Islands,1007,111168,669,97639,338,13529,0,0,1007,111168,0,0,0,1
05-09-2021,Andaman and Nicobar Islands,117,111285,109,97748,8,13537,0,0,117,111285,0,0,0,1
05-10-2021,Andaman and Nicobar Islands,1118,112403,691,98439,427,13964,0,0,1118,112403,0,0,0,1
05-11-2021,Andaman and Nicobar Islands,616,113019,406,98845,210,14174,0,0,616,113019,0,0,1,2
05-12-2021,Andaman and Nicobar Islands,603,113622,373,99218,230,14404,0,0,603,113622,0,0,0,2
13-05-2021,Andaman and Nicobar Islands,778,114400,384,99602,394,14798,0,0,778,114400,0,0,0,2
14-05-2021,Andaman and Nicobar Islands,98,114498,88,99690,10,14808,0,0,98,114498,0,0,0,2
15-05-2021,Andaman and Nicobar Islands,690,115188,368,100058,322,15130,0,0,690,115188,0,0,0,2
16-05-2021,Andaman and Nicobar Islands,0,115188,0,100058,0,15130,0,0,0,115188,0,0,0,2
17-05-2021,Andaman and Nicobar Islands,439,115627,434,100492,5,15135,0,0,439,115627,0,0,0,2
18-05-2021,Andaman and Nicobar Islands,284,115911,281,100773,3,15138,0,0,284,115911,0,0,0,2
19-05-2021,Andaman and Nicobar Islands,516,116427,504,101277,12,15150,0,0,516,116427,0,0,0,2
20-05-2021,Andaman and Nicobar Islands,753,117180,750,102027,3,15153,0,0,753,117180,0,0,0,2
21-05-2021,Andaman and Nicobar Islands,770,117950,768,102795,2,15155,0,0,770,117950,0,0,0,2
22-05-2021,Andaman and Nicobar Islands,811,118761,810,103605,1,15156,0,0,811,118761,0,0,0,2
23-05-2021,Andaman and Nicobar Islands,383,119144,383,103988,0,15156,0,0,383,119144,0,0,0,2
24-05-2021,Andaman and Nicobar Islands,451,119595,451,104439,0,15156,0,0,451,119595,0,0,0,2
25-05-2021,Andaman and Nicobar Islands,687,120282,685,105124,2,15158,0,0,687,120282,0,0,0,2
26-05-2021,Andaman and Nicobar Islands,809,121091,809,105933,0,15158,0,0,809,121091,0,0,1,3
27-05-2021,Andaman and Nicobar Islands,618,121709,615,106548,3,15161,0,0,618,121709,0,0,0,3
28-05-2021,Andaman and Nicobar Islands,757,122466,756,107304,1,15162,0,0,757,122466,0,0,0,3
29-05-2021,Andaman and Nicobar Islands,1017,123483,1013,108317,4,15166,0,0,1017,123483,0,0,0,3
30-05-2021,Andaman and Nicobar Islands,242,123725,242,108559,0,15166,0,0,242,123725,0,0,0,3
31-05-2021,Andaman and Nicobar Islands,543,124268,528,109087,15,15181,0,0,543,124268,0,0,0,3
06-01-2021,Andaman and Nicobar Islands,739,125007,734,109821,5,15186,0,0,739,125007,0,0,0,3
