Date,State/UnionTerritory,Sector,GDP_Before_COVID,GDP_During_COVID,GDP_Loss_Percent,Unemployment_Rate_Before,Unemployment_Rate_During,Migration_Effect,Recovery_Factor,Govt_Support_Received,Sector_Impact_Score,Health_Index,Lockdown_Severity,Vaccination_Rate,Urban_Rural_Ratio,Inflation_Rate,Population_Affected,Recovery_Progress,Remarks
01-01-2019,Himachal Pradesh,Transport,38079.47,33876.7,11.04,5.76,13.18878132,0,0.55,797.03,2,56.35,5,28.52,2.08,7.24,453.69,96.16,High Impact
31-01-2019,Karnataka,Manufacturing,95120.72,82525.28,13.24,6.31,16.63893595,1,0.72,797.03,3,41.95,4,79.29,0.48,8.83,285.24,41.15,High Impact
02-03-2019,Maharashtra,Mining,73467.4,58827.93,19.93,8.98,12.2308891,1,0.9,797.03,6,53.35,4,93.77,2.06,4.01,440.24,88.13,High Impact
01-04-2019,Meghalaya,Mining,60267.19,56326.71,6.54,5.38,8.677829657,1,0.9,797.03,1,54.92,1,77.91,1.91,5.46,412.09,96.37,Low Impact
01-05-2019,Bihar,Mining,16445.85,11021.45,32.98,9.09,16.6581836,0,0.33,797.03,2,60.87,4,60.56,1.53,3.57,40.81,94.89,Low Impact
31-05-2019,Madhya Pradesh,Mining,16443.46,10494.91,36.18,3.62,15.08378653,1,0.95,797.03,10,69.02,3,24.27,1.37,4.45,104.43,89.36,High Impact
30-06-2019,Madhya Pradesh,Mining,6750.28,6067.74,10.11,8.44,14.58997758,1,0.02,797.03,2,67.11,5,52.57,2.68,5.26,73.49,90.54,Medium Impact
30-07-2019,Gujarat,Agriculture,86751.44,65384.77,24.63,8.93,14.199421,0,0.38,797.03,1,32.53,4,23.35,0.89,6.24,415.56,36.01,Medium Impact
29-08-2019,Meghalaya,Finance,60510.39,54243.88,10.36,4.27,12.33689323,0,0.9,797.03,3,78.79,1,80.8,1.32,4.38,431.36,23.63,Medium Impact
28-09-2019,Karnataka,Real Estate,71099.19,64883.81,8.74,6.01,17.31448601,0,0.27,797.03,10,91.7,4,38.7,1.12,4.37,264.46,67.53,Low Impact
28-10-2019,Tripura,Agriculture,3037.86,1889.12,37.81,4.16,14.52927833,0,0.27,797.03,7,52.66,5,83.37,2.36,7.67,52.98,53.93,Medium Impact
27-11-2019,Meghalaya,Finance,97021.08,88212.79,9.08,7.95,19.90483611,1,0.3,797.03,1,41.68,2,38.16,2.77,8.78,68.67,18.89,Low Impact
27-12-2019,Assam,Transport,83411.82,63135.38,24.31,6.75,8.975685832,0,0.61,797.03,7,65.1,4,82.41,2.58,4.94,406.96,70.98,High Impact
26-01-2020,Tamil Nadu,Trade,22021.57,17147.13,22.13,7.45,10.57858145,1,0.44,797.03,5,75.82,3,33.33,2.43,7.13,464.67,60.66,Medium Impact
25-02-2020,Jharkhand,Agriculture,19000.67,15567.39,18.07,4.38,12.47467763,0,0.73,797.03,9,74.13,5,44.01,2.96,4.55,100.54,87.68,Medium Impact
26-03-2020,Punjab,Transport,19157.05,17705.6,7.58,4.48,14.68576439,0,0.89,797.03,2,69.79,1,61.55,2.15,8.57,6.56,64.83,High Impact
25-04-2020,Uttar Pradesh,Manufacturing,31119.98,18880.2,39.33,3.29,8.142443423,1,0.67,797.03,1,39.51,5,7.03,2.3,7.04,166.15,61.66,High Impact
25-05-2020,Maharashtra,Transport,52950.89,40607.78,23.31,5.25,9.64211088,1,0.2,797.03,9,84.39,2,94.82,2.95,7.82,16.22,49.67,Medium Impact
24-06-2020,Tamil Nadu,Construction,43762.56,36791.3,15.93,6.92,16.78975799,1,0.93,797.03,8,57.67,1,57.36,0.22,3.3,414.16,51.65,Medium Impact
24-07-2020,West Bengal,Manufacturing,29831.68,25444.85,14.71,9.01,11.57381854,0,0.26,797.03,10,44.4,2,50.78,1.98,6.59,246.26,95.89,Medium Impact
23-08-2020,Madhya Pradesh,Public Administration,61573.44,51868.63,15.76,7.67,13.36382648,0,0.15,797.03,6,35.61,2,83.94,2.27,6.17,321.29,22.46,Medium Impact
22-09-2020,Chhattisgarh,Transport,14809.89,9582.77,35.29,6.05,13.10809223,1,0.09,797.03,5,57.09,3,86.58,2.77,4.76,206.33,50.16,Medium Impact
22-10-2020,Uttarakhand,Services,29922.32,21088.91,29.52,9.67,17.27348674,1,0.56,797.03,8,70.17,4,52.23,2.67,4.57,173.41,69.02,Low Impact
21-11-2020,Maharashtra,Agriculture,37269.82,27041.13,27.44,8.03,17.31615157,0,0.11,797.03,8,73.25,3,92.73,2.56,6.48,111.88,48.97,Medium Impact
21-12-2020,Assam,Transport,46150.93,40684.49,11.84,9.51,15.05845723,1,0.14,797.03,5,92.58,3,6.47,2.85,7.24,385.5,35.49,Medium Impact
20-01-2021,West Bengal,Mining,78732.42,54921.06,30.24,6.69,14.81684345,1,0.3,797.03,7,39.95,3,11.32,1.7,3.2,348.08,35.86,Low Impact
19-02-2021,Manipur,Transport,20767.7,13992.17,32.63,4.81,12.66375423,0,0.28,797.03,1,94.08,1,59.68,0.22,6.4,181,31.03,High Impact
21-03-2021,Himachal Pradesh,Services,51909.21,48540.66,6.49,3.37,10.84616101,1,0.6,797.03,4,72.55,4,35.41,0.23,4.02,161.24,40.95,High Impact
20-04-2021,Manipur,Real Estate,59649.04,35974.46,39.69,8.08,16.48483293,0,0.82,797.03,2,59.52,4,46.42,1.72,3.84,1.62,88.45,High Impact
20-05-2021,Assam,Real Estate,5598.59,5314.39,5.08,3.85,8.444491711,0,0.76,797.03,10,87.73,1,32.81,1.42,6.74,32.71,55.47,Low Impact
19-06-2021,Punjab,Services,61146.94,51173.11,16.31,5.12,7.966487536,0,0.26,797.03,3,75.14,3,40.47,1.46,4.87,312,31.62,Low Impact
19-07-2021,Madhya Pradesh,Services,17881.89,15914.24,11,6.73,9.92271672,1,0.25,797.03,1,52.67,3,82.26,1.32,5.65,257.79,44.61,High Impact
18-08-2021,Haryana,Manufacturing,7440.11,5231.27,29.69,6.95,11.19582383,1,0.97,797.03,2,87.47,2,59.35,2.77,5.16,217.97,19.52,High Impact
17-09-2021,Jharkhand,Real Estate,94939.67,57439.48,39.5,7.2,14.20197936,1,0.01,797.03,1,73.33,2,99.73,1.21,6.89,413.92,91.36,High Impact
17-10-2021,Bihar,Agriculture,96597.57,82905.28,14.17,4.16,14.56442751,1,0.88,797.03,8,75.42,5,78.69,2.6,5.82,252.45,46.74,Medium Impact
16-11-2021,Nagaland,Trade,81031.34,72275.95,10.8,5.66,14.67293342,0,0.2,797.03,4,88.27,2,27.37,2.73,8.78,192.86,98.24,Low Impact
16-12-2021,Sikkim,Construction,31156.76,26768.85,14.08,7.32,17.21040604,0,0.95,797.03,3,59.15,4,26.43,1.6,5.11,81.47,41.28,Medium Impact
15-01-2022,Maharashtra,Agriculture,10669.54,6935.18,35,9.79,15.29975624,1,0.34,797.03,1,72.7,1,33.59,1.45,7.44,410.52,85.27,Low Impact
14-02-2022,Goa,Construction,68739.07,59369.92,13.63,8.09,14.13653742,1,0.44,797.03,2,78.4,3,84.33,2.33,4.54,288.55,33.07,Low Impact
16-03-2022,Nagaland,Agriculture,44575.1,38741.24,13.09,9.46,15.39681886,1,0.71,797.03,3,59.51,5,2.73,2.18,6.05,47.14,16.85,Medium Impact
15-04-2022,Rajasthan,Transport,13081.79,10864.29,16.95,8.34,12.25873184,1,0.59,797.03,3,35.42,2,23.02,1.12,6.32,324.8,12.86,High Impact
15-05-2022,Manipur,Trade,50022.51,43426.57,13.19,7.14,9.752166581,0,0.32,797.03,6,80.14,5,90.49,0.49,4.97,213.11,64.56,Low Impact
