Country,Year-Month,New_Confirmed,New_Deaths,New_Recovered,Total_Confirmed(new+previous)
Afghanistan,01-01-2020,0,0,0,0
Afghanistan,01-02-2020,5,0,0,5
Afghanistan,01-03-2020,163,4,5,168
Afghanistan,01-04-2020,1661,56,255,1827
Afghanistan,01-05-2020,13353,194,1068,15180
Afghanistan,01-06-2020,16265,485,12803,31445
Afghanistan,01-07-2020,5183,536,11378,36628
Afghanistan,01-08-2020,1620,131,3580,38248
Afghanistan,01-09-2020,1106,56,3700,39354
Afghanistan,01-10-2020,1980,71,1532,41334
Afghanistan,01-11-2020,4881,230,2510,46215
Afghanistan,01-12-2020,6115,426,4896,52330
Afghanistan,01-01-2021,2693,211,5952,55023
Afghanistan,01-02-2021,691,43,1654,55714
Afghanistan,01-03-2021,740,41,2245,56454
Afghanistan,01-04-2021,3291,141,1656,59745
Afghanistan,01-05-2021,12093,319,4423,71838
Afghanistan,01-06-2021,46821,1927,13383,118659
Afghanistan,01-07-2021,28495,1837,11574,147154
Afghanistan,01-08-2021,6066,410,0,153220
Afghanistan,01-09-2021,1954,86,0,155174
Afghanistan,01-10-2021,1076,76,0,156250
Afghanistan,01-11-2021,1039,28,0,157289
Afghanistan,01-12-2021,795,48,0,158084
Afghanistan,01-01-2022,4848,58,0,162926
Afghanistan,01-02-2022,10733,184,0,173659
Afghanistan,01-03-2022,4088,72,0,177747
Afghanistan,01-04-2022,640,6,0,178387
Albania,01-01-2020,0,0,0,0
Albania,01-02-2020,0,0,0,0
Albania,01-03-2020,243,15,52,243
Albania,01-04-2020,530,16,418,773
Albania,01-05-2020,364,2,402,1137
Albania,01-06-2020,1398,29,587,2535
Albania,01-07-2020,2741,95,1493,5276
Albania,01-08-2020,4237,127,2262,9513
Albania,01-09-2020,4136,103,2633,13649
Albania,01-10-2020,7226,122,3342,20875
Albania,01-11-2020,17307,301,7660,38182
Albania,01-12-2020,20134,371,14785,58316
Albania,01-01-2021,19811,199,13790,78127
Albania,01-02-2021,29040,416,22349,107167
Albania,01-03-2021,17990,439,21498,125157
Albania,01-04-2021,5928,159,18067,131085
Albania,01-05-2021,1230,57,20093,132315
Albania,01-06-2021,206,5,578,132521
Albania,01-07-2021,560,1,213,133081
Albania,01-08-2021,13306,41,92,146387
Albania,01-09-2021,23744,200,0,170131
Albania,01-10-2021,15169,226,0,185300
Albania,01-11-2021,14645,172,0,199945
Albania,01-12-2021,10279,121,0,210224
Albania,01-01-2022,48319,129,0,258543
Albania,01-02-2022,13020,123,0,271563
Albania,01-03-2022,2114,23,0,273677
Albania,01-04-2022,785,4,0,274462
Algeria,01-01-2020,0,0,0,0
Algeria,01-02-2020,1,0,0,1
Algeria,01-03-2020,715,44,123,716
Algeria,01-04-2020,3290,406,1733,4006
Algeria,01-05-2020,5388,203,4006,9394
Algeria,01-06-2020,4513,259,4149,13907
Algeria,01-07-2020,16487,298,10640,30394
Algeria,01-08-2020,14100,300,10707,44494
Algeria,01-09-2020,7036,226,4930,51530
Algeria,01-10-2020,6412,228,4027,57942
Algeria,01-11-2020,25257,467,13608,83199
Algeria,01-12-2020,16411,325,13318,99610
Algeria,01-01-2021,7729,135,6217,107339
Algeria,01-02-2021,5753,92,4754,113092
Algeria,01-03-2021,4100,110,3440,117192
